"","Locus","Description","otherName"
"5","AT4G01100","Adenine nucleotide transporter. Located in mitochondrion. Expressed in a broad range of tissues, but predominantly in root tips. Loss of function mutants exhibit reduced root growth and respiration.","ADENINE NUCLEOTIDE TRANSPORTER 1; ADNT1"
"21","AT4G23940","Encodes FtsHi1. Localizes to the chloroplast envelope membrane. Functions in chloroplast biogenesis and division.Strong interaction with TIC inner envelope protein translocon which consists of Tic20/Tic56/Tic100/Tic214(Ycf1)(DOI:10.1105/tpc.18.00357).","ACCUMULATION AND REPLICATION OF CHLOROPLASTS 1; ARC1; FTSH INACTIVE PROTEASE 1; FTSHI1"
"504","AT5G20060","alpha/beta-Hydrolases superfamily protein;(source:Araport11)",""
"405","AT5G39830","Encodes DEG8.  Forms a hexamer with DEG5 in the thylakoid lumen.  Involved in the cleavage of photodamaged D2 protein of photosystem II (PSII).  Recombinant DEG8 is proteolytically active toward both a model substrate (beta-casein) and photodamaged D1 protein of photosystem II.","DEG PROTEASE 8; DEG8; DEGP8; DEGRADATION OF PERIPLASMIC PROTEINS 8"
"809","FGENESH2_KG.2__1114__AT1G68590.1","",""
"685","AT3G59840","allyl alcohol dehydrogenase-like protein;(source:Araport11)",""
"299","AT3G63410","Encodes a MPBQ/MSBQ methyltransferase located in the chloroplast inner envelope membrane.  Mutant plants lack plastoquinone (PQ), suggesting that the APG1 protein is involved in the methylation step of PQ biosynthesis. The gene product is also involved in tocopherol (vitamin E) biosynthesis.","ALBINO OR PALE GREEN MUTANT 1; APG1; E37; IEP37; INNER ENVELOPE PROTEIN 37; VITAMIN E DEFECTIVE 3; VTE3"
"228","AT5G55990","Encodes a member of the Arabidopsis CBL (Calcineurin B-like Calcium Sensor) protein family.","ATCBL2; CALCINEURIN B-LIKE PROTEIN 2; CBL2; SCABP1; SOS3-LIKE CALCIUM BINDING PROTEIN 1"
"164","AT3G58610","ketol-acid reductoisomerase;(source:Araport11)",""
"241","AT4G24650","AB061402 Arabidopsis thaliana AtIPT4 mRNA for cytokinin synthase, complete cds","ARABIDOPSIS THALIANA ISOPENTENYLTRANSFERASE 4; ATIPT4; IPT4; ISOPENTENYLTRANSFERASE 4"
"903","AT5G18900","2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein;(source:Araport11)",""
"483","AT5G43810","Encodes Argonaute10, a member of the EIF2C (elongation initiation factor 2c)/  Argonaute class of proteins. Required to establish the central-peripheral organization of the embryo apex. Along with WUS and CLV genes, controls the relative organization of central zone and peripheral zone cells in meristems. Acts in embryonic provascular tissue potentiating WUSCHEL function during meristem development in the embryo. AGO10 specifically sequesters miR166/165 to regulate shoot apical meristem development.","AGO10; ARGONAUTE 10; ZLL; ZWILLE"
"358","AT5G67520","Provides activated sulfate for the  sulfation of secondary metabolites, including the glucosinolates. Redundant with APK3.",""
"311","AT5G26030","encodes ferrochelatase I located in plastids. Involved in heme biosynthesis in non-photosynthetic tissues and induced by oxidative stress in photosynthetic tissues to supply heme for defensive hemoproteins The mRNA is cell-to-cell mobile.","ATFC-I; FC-I; FC1; FERROCHELATASE 1"
"524","AT5G16300","Vps51/Vps67 family (components of vesicular transport) protein;(source:Araport11)","COG1; CONSERVED OLIGOMERIC GOLGI COMPLEX 1"
"373","AT5G61900","Encodes a plasma-membrane localized, copine-like protein, which is a member of a newly identified class of calcium-dependent, phospholipid binding proteins that are present in a wide range of organisms. Mutants exhibit temperature-sensitive growth defects and increased hypersensitive response where permissive conditions are low temperature (22 degrees Celsius) and low humidity. Gene is expressed at 22 but not at 28 (restrictive condition) degrees. Lethality of double mutants with BON3 can be partially suppressed by SNC1. Double mutants show defects in development that are genetically separable from hypersensitive/cell death response.","BON; BON1; BONZAI 1; COPINE 1; CPN1"
"558","AT1G79560","Encodes an FtsH protease that is localized to the chloroplast and is part of a membrane localized translocation motor complex .Strong interaction with TIC inner envelope protein translocon which consists of Tic20/Tic56/Tic100/Tic214(Ycf1)(DOI:10.1105/tpc.18.00357). Mutations in this locus result in embryo lethality.",""
"587","AT4G23100","Encodes the enzyme glutamate-cysteine ligase catalyzing the first, and rate-limiting, step of glutathione biosynthesis.  Required for cell proliferation at the root tip. Involved in susceptibility to the bacterial pathogen Pseudomonas syringae. Mutants are phytoalexin defective.","ATECS1; ATGSH1; CAD2; CADMIUM SENSITIVE 2; GLUTAMATE-CYSTEINE LIGASE; GSH1; GSHA; PAD2; PHYTOALEXIN DEFICIENT 2; RML1; ROOT MERISTEMLESS 1"
"618","AT5G52470","Encodes a fibrillarin, a key nucleolar protein in eukaryotes which associates with box C/D small nucleolar RNAs (snoRNAs) directing 2'-O-ribose methylation of the rRNA. This gene also encodes a novel box C/D snoRNA, U60.1f in its fifth intron that accumulates in seedlings and that their targeted residue on the 25 S rRNA is methylated.","ATFBR1; ATFIB1; FBR1; FIB1; FIBRILLARIN 1; SKIP7; SKP1/ASK1-INTERACTING PROTEIN"
"717","AT5G63570","Encodes a protein with homology to glutamate-1-semialdehyde 2,1-aminomutase catalyzing the conversion of glutamate-1-semialdehyde (GSA) into 5-amino levulinate. The expression of this gene was demonstrated to be light-induced. The mRNA is cell-to-cell mobile.","GLUTAMATE-1-SEMIALDEHYDE-2,1-AMINOMUTASE; GSA1"
"803","AT5G24690","plant/protein, putative (DUF3411);(source:Araport11)",""
"76","AT5G37475","Translation initiation factor eIF3 subunit;(source:Araport11)",""
"664","AT5G43940","Encodes a glutathione-dependent formaldehyde dehydrogenase (also known as class III type alcohol dehydrogenase) reduces S-nitrosoglutathione (GSNO), the condensation product of glutathione and NO, that is a naturally occurring NO reservoir and also a reactive nitrogen intermediate. Gene expression is reduced by wounding and induced by salicylic acid. Is required for the acclimation of plants to high temperature and for fertility.","HOT5; SENSITIVE TO HOT TEMPERATURES 5"
"810","AT5G38430","Encodes a member of the Rubisco small subunit (RBCS) multigene family: RBCS1A (At1g67090), RBCS1B (At5g38430), RBCS2B (At5g38420), and RBCS3B (At5g38410).",""
"843","AT1G78050","phosphoglycerate/bisphosphoglycerate mutase;(source:Araport11)","PGM; PHOSPHOGLYCERATE/BISPHOSPHOGLYCERATE MUTASE"
"745","AT5G54760","Translation initiation factor SUI1 family protein;(source:Araport11)",""
"196","AT5G24165","hypothetical protein;(source:Araport11)",""
"857","AT1G65410","Encodes a member of NAP subfamily of transporters.  Mutations in this gene suppress the low temperature-induced phenotype of Arabidopsis tocopherol-deficient mutant vte2.","ABCI13; ATNAP11; ATP-BINDING CASSETTE I13; NAP11; NON-INTRINSIC ABC PROTEIN 11; TGD3; TRIGALACTOSYLDIACYLGLYCEROL 3"
"710","AT5G48790","LOW PSII ACCUMULATION protein (DUF1995);(source:Araport11)",""
"497","AT4G13430","Encodes a methylthioalkylmalate isomerase involved in glucosinolate biosynthesis.","ATLEUC1; IIL1; ISOPROPYL MALATE ISOMERASE LARGE SUBUNIT 1"
"770","AT5G65840","Thioredoxin superfamily protein;(source:Araport11)",""
"426","AT5G18620","Encodes a member of the A. thaliana imitation switch (AtISWI) subfamily of chromatin remodeling factors. Double mutation in CHR17 and CHR11 results in the loss of the evenly spaced nucleosome pattern in gene bodies, but does not affect nucleosome density.","CHR17; CHROMATIN REMODELING FACTOR17"
"827","AT5G64290","dicarboxylate transport 2.1;(source:Araport11)","DCT; DICARBOXYLATE TRANSPORT 2.1; DIT2.1"
"488","AT1G30270","Arabidopsis thaliana CBL-interacting protein kinase 23.  CIPK23 serves as a positive regulator of the potassium transporter AKT1 by directly phosphorylating AKT1.  CIPK23 is activated by the binding of two calcineurin B-like proteins, CBL1 and CBL9. The mRNA is cell-to-cell mobile.","ATCIPK23; CBL-INTERACTING PROTEIN KINASE 23; CIPK23; LKS1; LOW-K+-SENSITIVE 1; PKS17; SNF1-RELATED PROTEIN KINASE 3.23; SNRK3.23; SOS2-LIKE PROTEIN KINASE 17"
"554","AT5G63050","embryo defective 2759;(source:Araport11)","EMB2759; EMBRYO DEFECTIVE 2759"
"82","AT2G43710","Encodes a stearoyl-ACP desaturase, involved in fatty acid desaturation. The ssi2 mutants have increased 18:0 and reduced 18:1 fatty acids. Exogenous application of glycerol to wild type plants mimics the ssi2 mutant phenotype. The altered 18:1 fatty acid content in the ssi2 mutants has an impact on SA- and JA-mediated defense signaling. ssi2 mutants resulted in hyper-resistance to green peach aphid and antibiosis activity in petiole exudates.","ATSSI2; FAB2; FATTY ACID BIOSYNTHESIS 2; LDW1; LESION DWARF MIMIC 1; SSI2; SUPPRESSOR OF SA INSENSITIVE 2"
"188","AT5G27670","Encodes HTA7, a histone H2A protein.","H2A.W.7; HISTONE H2A 7; HTA7"
"601","AT5G17010","Major facilitator superfamily protein;(source:Araport11)",""
"552","AT5G16300","Vps51/Vps67 family (components of vesicular transport) protein;(source:Araport11)","COG1; CONSERVED OLIGOMERIC GOLGI COMPLEX 1"
"265","AT5G49780","Leucine-rich repeat protein kinase family protein;(source:Araport11)",""
"962","AT1G05200","Encodes a putative glutamate receptor GLR3 with dual localization in plastid and plasma membrane.","ATGLR3.4; GLR3.4; GLUR3; GLUTAMATE RECEPTOR 3.4"
"303","AT5G35180","ENHANCED DISEASE RESISTANCE protein (DUF1336);(source:Araport11)",""
"758","AT5G09650","Encodes a protein with inorganic pyrophosphatase activity.","ATPPA6; PPA6; PYROPHOSPHORYLASE 6"
"3","AT2G37860","Encodes a protein involved in differential development of bundle sheath and mesophyll cell chloroplasts.","LCD1; LOWER CELL DENSITY 1; RE; RETICULATA"
"455","AT1G32500","Encodes a member of a heterogenous group of non-intrinsic ATP-binding cassette (ABC) proteins.  Members of this group bear no close resemblance to each other nor to representatives of specific ABC protein subfamilies from other organisms.  This grouping is arbitrary and will likely change upon acquisition of further data.","ABCI7; ATNAP6; ATP-BINDING CASSETTE I7; NAP6; NON-INTRINSIC ABC PROTEIN 6"
"132","AT5G67030","Encodes a single copy zeaxanthin epoxidase gene that functions in first step of the biosynthesis of the abiotic stress hormone abscisic acid (ABA). Mutants in this gene are unable to express female sterility in response to beta-aminobutyric acid, as wild type plants do.","ABA DEFICIENT 1; ABA1; ARABIDOPSIS THALIANA ABA DEFICIENT 1; ARABIDOPSIS THALIANA ZEAXANTHIN EPOXIDASE; ATABA1; ATZEP; IBS3; IMPAIRED IN BABA-INDUCED STERILITY 3; LOS6; LOW EXPRESSION OF OSMOTIC STRESS-RESPONSIVE GENES 6; NON-PHOTOCHEMICAL QUENCHING 2; NPQ2; ZEAXANTHIN EPOXIDASE; ZEP"
"779","ATCG00380","Chloroplast encoded ribosomal protein S4","CHLOROPLAST RIBOSOMAL PROTEIN S4; RPS4"
"913","AT5G60460","Preprotein translocase Sec, Sec61-beta subunit protein;(source:Araport11)",""
"974","AT2G44640","TRIGALACTOSYLDIACYLGLYCEROL-like protein;(source:Araport11)",""
"123","AT5G64260","EXORDIUM like 2;(source:Araport11)","EXL2; EXORDIUM LIKE 2"
"911","AT5G47030","Encodes the mitochondrial ATP synthase subunit delta.",""
"914","AT3G07780","Encodes a nuclear PHD finger protein that is functionally redundant with OBE2 and plays an important role in the maintenance and/or establishment of the root and shoot apical meristems.The mRNA is cell-to-cell mobile.",""
"439","AT3G63390","hypothetical protein;(source:Araport11)",""
"855","AT5G64870","SPFH/Band 7/PHB domain-containing membrane-associated protein family;(source:Araport11)",""
"544","AT5G16570","Encodes a cytosolic glutamine synthetase, the enzyme has high affinity with substrate ammonium","GLN1;4; GLUTAMINE SYNTHETASE 1;4"
"284","AT5G40370","Glutaredoxin family protein;(source:Araport11)","ATGRXC2; GLUTAREDOXIN C2; GRX370; GRXC2"
"550","AT4G24620","The PGI1 gene encodes the plastid phospho-glucose (Glc) isomerase. While pgi1-1 mutant has a deficiency in leaf starch synthesis, it accumulates starch in root cap cells. Flowering time of the pgi1-1 mutant is significantly delayed under short-day conditions.","PGI; PGI1; PHOSPHOGLUCOSE ISOMERASE 1"
"459","AT4G02990","Encodes BELAYA SMERT (BSM), a plastid-localized protein homologous to mitochondrial transcription termination factors (mTERF) found in animal. Mutant bsm cells are albino, are compromised in growth, and suffer defects in global plastidic gene expression. The mRNA is cell-to-cell mobile.","BELAYA SMERT; BSM; RUG2; RUGOSA 2"
"945","AT5G40780","Encodes LHT1 (lysine histidine transporter), a high-affinity transporter for cellular amino acid uptake in both root epidermis and leaf mesophyll.","ATLHT1; LHT1; LYSINE HISTIDINE TRANSPORTER 1"
"755","AT5G47910","NADPH/respiratory burst oxidase protein D (RbohD).Interacts with AtrbohF gene to fine tune the spatial control of ROI production and hypersensitive response to cell in and around infection site. The mRNA is cell-to-cell mobile.","ATRBOHD; RBOHD; RESPIRATORY BURST OXIDASE HOMOLOGUE D"
"10","AT5G59890","actin depolymerizing factor 4 (ADF4) mRNA, complete cds","ACTIN DEPOLYMERIZING FACTOR 4; ADF4; ATADF4"
"695","AT5G16840","binding partner of acd11 1;(source:Araport11)","BINDING PARTNER OF ACD11 1; BPA1"
"735","AT5G55160","Encodes a small ubiquitin-like modifier (SUMO) polypeptide that becomes covalently attached to various intracellular protein targets, much like ubiquitination, leading to post-translational modification of those targets. SUMO2 can form SUMO chains through lysine residue 10 during in vitro assays.","ATSUMO2; SMALL UBIQUITIN-LIKE MODIFIER 2; SUM2; SUMO 2; SUMO2"
"783","AT5G49830","Encodes a member of the exocyst complex gene family. The exocyst is a protein complex involved in tethering vesicles to the plasma membrane during regulated or polarized secretion.","EXO84B; EXOCYST COMPLEX COMPONENT 84B"
"420","AT5G25070","neurofilament light protein;(source:Araport11)",""
"444","AT4G33350","Tic22-like family protein;(source:Araport11)","ATTIC22-IV; TIC22-IV; TRANSLOCON AT THE INNER ENVELOPE MEMBRANE OF CHLOROPLASTS 22-IV"
"463","AT5G59840","Ras-related small GTP-binding family protein;(source:Araport11)","ATRABE1B"
"948","AT5G12370","exocyst complex component sec10;(source:Araport11)","EXOCYST COMPLEX COMPONENT SEC10; SEC10"
"209","AT5G40170","receptor like protein 54;(source:Araport11)","ATRLP54; RECEPTOR LIKE PROTEIN 54; RLP54"
"313","AT5G17170","rubredoxin family protein;(source:Araport11)","ENH1; ENHANCER OF SOS3-1"
"107","AT5G47710","Calcium-dependent lipid-binding (CaLB domain) family protein;(source:Araport11)",""
"145","AT5G46020","MUSE7 was identified in a forward genetic screen to identify snc1 enhancers using a mos4 snc1 background. muse7 mos4 snc1 plants are morphologiclly similar to snc1 plants with slightly twisted leaves. The triple mutant also shows PR gene activation and enhanced resistance to pathogens, like the snc1 single mutant. It is a single copy gene conserved in plants and metazoans.MUSE7 encodes an evolutionarily conserved putative kinase substrate of unknown function that  affects the accumulation of NLR proteins.","MUSE7; MUTANT, SNC1-ENHANCING, 7"
"658","AT5G52410","oxidoreductase/transition metal ion-binding protein;(source:Araport11)",""
"678","AT5G17710","Chloroplast GrpE protein involved in chloroplastic response to heat stress and the correct oligomerization of the photosynthesis-related LHCII complex.","CGE1; CHLOROPLAST GRPE 1"
"595","AT5G14590","Isocitrate/isopropylmalate dehydrogenase family protein;(source:Araport11)",""
"816","AT1G22410","Class-II DAHP synthetase family protein;(source:Araport11)",""
"731","AT5G50330","Protein kinase superfamily protein;(source:Araport11)",""
"442","AT3G56360","hypothetical protein;(source:Araport11)",""
"546","AT5G58140","Membrane-bound protein serine/threonine kinase that functions as blue light photoreceptor in redundancy with PHO1. Involved in stomatal opening, chloroplast movement and phototropism. Mediates blue light-induced growth enhancements. PHOT1 and PHOT2 mediate blue light-dependent activation of the plasma membrane H+-ATPase in guard cell protoplasts. PHOT2 possesses two LOV (LOV1 and LOV2, for light-oxygen-voltage-sensing) domains involved in FMN-binding and a C-terminus forming a serine/threonine kinase domain. LOV2 acts as an inhibitor of phototropin kinase in the dark, and light cancels the inhibition through cysteine-FMN adduct formation. LOV1 in contrast acts as an attenuator of photoactivation.  Localized to the Golgi apparatus under the induction of blue light. The mRNA is cell-to-cell mobile.","ATPHOT2; NON PHOTOTROPIC HYPOCOTYL 1-LIKE; NPL1; PHOT2; PHOTOTROPIN 2"
